file_name,folder,upload_date,image_format,resource_type,width,height,aspect_ratio,megabytes,secure_url
Screen_Shot_2019-02-11_at_2.14.41_PM,,2019-02-11T22:20:14+00:00,png,image,456,604,0.75497,0.504122,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923614/Screen_Shot_2019-02-11_at_2.14.41_PM.png
Screen_Shot_2019-02-11_at_2.14.17_PM,,2019-02-11T22:20:14+00:00,png,image,1518,1294,1.17311,3.367225,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923614/Screen_Shot_2019-02-11_at_2.14.17_PM.png
Screen_Shot_2019-02-11_at_2.14.22_PM,,2019-02-11T22:20:14+00:00,png,image,720,530,1.35849,0.720864,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923614/Screen_Shot_2019-02-11_at_2.14.22_PM.png
Screen_Shot_2019-02-11_at_2.14.27_PM,,2019-02-11T22:20:13+00:00,png,image,704,516,1.36434,0.682141,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923613/Screen_Shot_2019-02-11_at_2.14.27_PM.png
Screen_Shot_2019-02-11_at_2.14.04_PM,,2019-02-11T22:20:13+00:00,png,image,1016,1230,0.82602,2.341588,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923613/Screen_Shot_2019-02-11_at_2.14.04_PM.png
Screen_Shot_2019-02-11_at_2.12.34_PM,,2019-02-11T22:20:12+00:00,png,image,1778,1592,1.11683,5.13954,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923612/Screen_Shot_2019-02-11_at_2.12.34_PM.png
Screen_Shot_2019-02-11_at_2.13.56_PM,,2019-02-11T22:20:12+00:00,png,image,1002,708,1.41525,1.293783,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923612/Screen_Shot_2019-02-11_at_2.13.56_PM.png
Screen_Shot_2019-02-11_at_2.13.27_PM,,2019-02-11T22:20:10+00:00,png,image,892,1122,0.79501,1.743821,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923610/Screen_Shot_2019-02-11_at_2.13.27_PM.png
Screen_Shot_2019-02-11_at_2.13.22_PM,,2019-02-11T22:20:09+00:00,png,image,894,1040,0.85962,1.637725,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923609/Screen_Shot_2019-02-11_at_2.13.22_PM.png
Screen_Shot_2019-02-11_at_2.13.09_PM,,2019-02-11T22:20:09+00:00,png,image,1306,678,1.92625,1.579615,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923609/Screen_Shot_2019-02-11_at_2.13.09_PM.png
Screen_Shot_2019-02-11_at_2.13.13_PM,,2019-02-11T22:20:09+00:00,png,image,1296,718,1.80501,1.624752,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923609/Screen_Shot_2019-02-11_at_2.13.13_PM.png
Screen_Shot_2019-02-11_at_2.12.04_PM,,2019-02-11T22:20:08+00:00,png,image,920,1096,0.83942,1.729854,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923608/Screen_Shot_2019-02-11_at_2.12.04_PM.png
Screen_Shot_2019-02-11_at_2.12.43_PM,,2019-02-11T22:20:07+00:00,png,image,1216,954,1.27463,2.137206,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923607/Screen_Shot_2019-02-11_at_2.12.43_PM.png
Screen_Shot_2019-02-11_at_2.12.48_PM,,2019-02-11T22:20:07+00:00,png,image,980,962,1.01871,1.849278,https://res.cloudinary.com/mtylerpreston/image/upload/v1549923607/Screen_Shot_2019-02-11_at_2.12.48_PM.png
